date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:57:43	295/295	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Apr%202026%2017:57:42%20GMT	http://localhost/robots.txt		(from )
00:57:46	161836/161836	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Apr%202026%2017:57:43%20GMT	http://localhost/Template3/	C:/My%20Web%20Sites/Template3REV/localhost/Template3/index.html	(from )
00:57:47	1/1	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2013%20Apr%202026%2017:57:46%20GMT	http://localhost/Template3/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/Template3REV/localhost/Template3/wp-admin/admin-ajax.php	(from http://localhost/Template3/)
00:57:47	0/0	---M--	200	added ('OK')	text/html	date:Mon,%2013%20Apr%202026%2017:57:47%20GMT	http://localhost/Template3/wp-admin/admin-post.php	C:/My%20Web%20Sites/Template3REV/localhost/Template3/wp-admin/admin-post.1.delayed	(from http://localhost/Template3/)
00:57:48	2144/2144	---M--	200	added ('OK')	application/json	date:Mon,%2013%20Apr%202026%2017:57:47%20GMT	http://localhost/Template3/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2FTemplate3%2F	C:/My%20Web%20Sites/Template3REV/localhost/Template3/wp-json/oembed/1.0/embed441d.json	(from http://localhost/Template3/)
00:57:48	1700/1700	---M--	200	added ('OK')	application/rss+xml	etag:%225f683bec3bafb601ecbe902faa9a4993%22	http://localhost/Template3/feed/	C:/My%20Web%20Sites/Template3REV/localhost/Template3/feed/index.html	(from http://localhost/Template3/)
00:57:49	1662/1662	---M--	200	added ('OK')	application/rss+xml	etag:%225f683bec3bafb601ecbe902faa9a4993%22	http://localhost/Template3/comments/feed/	C:/My%20Web%20Sites/Template3REV/localhost/Template3/comments/feed/index.html	(from http://localhost/Template3/)
00:57:49	2293/2293	---M--	200	added ('OK')	text/xml	date:Mon,%2013%20Apr%202026%2017:57:48%20GMT	http://localhost/Template3/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2FTemplate3%2F&format=xml	C:/My%20Web%20Sites/Template3REV/localhost/Template3/wp-json/oembed/1.0/embed78a2	(from http://localhost/Template3/)
00:57:49	83015/83015	---M--	200	added ('OK')	text/css	etag:%2214447-64ccafd9f681f%22	http://localhost/Template3/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.8.5	C:/My%20Web%20Sites/Template3REV/localhost/Template3/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend42e1.css	(from http://localhost/Template3/)
00:57:50	776/776	---M--	200	added ('OK')	text/css	etag:%22308-64ccafd9b6296%22	http://localhost/Template3/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=2.8.5	C:/My%20Web%20Sites/Template3REV/localhost/Template3/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor42e1.css	(from http://localhost/Template3/)
00:57:50	4885/4885	---M--	200	added ('OK')	text/css	etag:%221315-64e29ffb68cbe%22	http://localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/plus-extra-adv/plus-extra-adv.min.css?ver=6.4.11	C:/My%20Web%20Sites/Template3REV/localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/plus-extra-adv/plus-extra-adv.mine434.css	(from http://localhost/Template3/)
00:57:51	4259/4259	---M--	200	added ('OK')	text/css	etag:%2210a3-64e29ffb5907a%22	http://localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/block-quote/plus-block-quote.css?ver=6.4.11	C:/My%20Web%20Sites/Template3REV/localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/block-quote/plus-block-quotee434.css	(from http://localhost/Template3/)
00:57:51	4046/4046	---M--	200	added ('OK')	text/css	etag:%22fce-64e29ffb7c1e7%22	http://localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/tp-button/tp-button-style.css?ver=6.4.11	C:/My%20Web%20Sites/Template3REV/localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/tp-button/tp-button-stylee434.css	(from http://localhost/Template3/)
00:57:51	717/717	---M--	200	added ('OK')	text/css	etag:%222cd-64e29ffb7ba1a%22	http://localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/tp-button/tp-button-style-8.css?ver=6.4.11	C:/My%20Web%20Sites/Template3REV/localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/tp-button/tp-button-style-8e434.css	(from http://localhost/Template3/)
00:57:51	1213/1213	---M--	200	added ('OK')	text/css	etag:%224bd-64e29ffb69eb4%22	http://localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/plus-form/plus-form-widget.min.css?ver=6.4.11	C:/My%20Web%20Sites/Template3REV/localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/plus-form/plus-form-widget.mine434.css	(from http://localhost/Template3/)
00:57:52	11815/11815	---M--	200	added ('OK')	text/css	etag:%222e27-64e29ffb722ca%22	http://localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/stylist-list/plus-style-list.css?ver=6.4.11	C:/My%20Web%20Sites/Template3REV/localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/stylist-list/plus-style-liste434.css	(from http://localhost/Template3/)
00:57:52	1159/1159	---M--	200	added ('OK')	text/css	etag:%22487-64e29ffb64a08%22	http://localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/heading-title/plus-ht-style.css?ver=6.4.11	C:/My%20Web%20Sites/Template3REV/localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/heading-title/plus-ht-stylee434.css	(from http://localhost/Template3/)
00:57:52	612/612	---M--	200	added ('OK')	text/css	etag:%22264-64e29ffb62b16%22	http://localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/heading-title/plus-ht-style-2.css?ver=6.4.11	C:/My%20Web%20Sites/Template3REV/localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/heading-title/plus-ht-style-2e434.css	(from http://localhost/Template3/)
00:57:52	14371/14371	---M--	200	added ('OK')	text/css	etag:%223823-64e29ffb6617a%22	http://localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/info-box/plus-infobox-style.css?ver=6.4.11	C:/My%20Web%20Sites/Template3REV/localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/info-box/plus-infobox-stylee434.css	(from http://localhost/Template3/)
00:57:53	651/651	---M--	200	added ('OK')	text/css	etag:%2228b-64e29ffb655bc%22	http://localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/info-box/plus-infobox-style-1.css?ver=6.4.11	C:/My%20Web%20Sites/Template3REV/localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/info-box/plus-infobox-style-1e434.css	(from http://localhost/Template3/)
00:57:53	1094/1094	---M--	200	added ('OK')	text/css	etag:%22446-64e29ffb659ac%22	http://localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/info-box/plus-infobox-style-3.css?ver=6.4.11	C:/My%20Web%20Sites/Template3REV/localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/info-box/plus-infobox-style-3e434.css	(from http://localhost/Template3/)
00:57:53	13635/13635	---M--	200	added ('OK')	text/css	etag:%223543-64e29ffb66f2f%22	http://localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/navigation-menu-lite/plus-nav-menu-lite.min.css?ver=6.4.11	C:/My%20Web%20Sites/Template3REV/localhost/Template3/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/navigation-menu-lite/plus-nav-menu-lite.mine434.css	(from http://localhost/Template3/)
